<<<<<<< HEAD
=======
CorrectionAssignMapTitle#0,"""조작 설정 복원"""
WindowRadioButtonInitText#0,"""모든 윈도우의 위치와 크기를 초기화한다"""
EstheTitleText#0,"""헤어스타일 및 헤드 파츠 악세사리 선택 방식"""
EstheTitleTextShapeSync#0,"""체형 편집 시 자동 동기화 설정"""
EstheMessageShapeSync#0,"""인간형의 체형과 캐스트형 체형은 자동으로 동기화되지만,<br>개별로 편집하고 싶은 경우에는「체형을 개별로 편집한다」를<br>선택해 주십시오. (에스테 내에서만 유효합니다)"""
EstheHint#0,"""캐릭터 크리에이트 및 에스테로 선택하는<br>헤어스타일, 헤드 파츠, 악세사리 창의<br>타입을 설정합니다."""
EstheHintShapeSync#0,"""캐스트 종족의 경우에는 입는 코스튬에 따라서<br>인간형의 체형이 됩니다만, 이때에도「인간형의 체형」과「캐스트형의 체형」을<br>자동으로 동기화할지 혹은 개별적으로 편집할지 선택할 수 있습니다."""
EstheRadioButtonText1#0,"""작은 윈도우\u3000다중 표시 가능"""
EstheRadioButtonText2#0,"""대형 윈도우\u3000탭화\u3000다중 표시 불가"""
EstheRadioButtonShapeSync1#0,"""자동으로 동기화"""
EstheRadioButtonShapeSync2#0,"""개별로 편집"""
ShootTextFileType#0,"""스크린샷 저장 형식"""
ShootTextShowUI#0,"""스크린샷 촬영 시 인터페이스 표시"""
ShootHintFileType#0,"""스크린샷 저장 시 저장 형식을 선택합니다."""
ShootHintShowUI#0,"""스크린샷 촬영시에,<br>인터페이스 (윈도우)를<br>표시할지 설정합니다.<br>※게임 내 촬영 기능 이용 시에만 유효합니다"""
DrawFuncTextLightEffect#0,"""이펙트 광원 설정"""
DrawFuncTextLightGeoGraphy#0,"""지형 광원"""
DrawFuncTextBloom#0,"""블룸 처리"""
DrawFuncTextDepth#0,"""피사계 심도"""
DrawFuncTextLightShaft#0,"""라이트 샤프트"""
DrawFuncTextBlur#0,"""블러"""
DrawFuncTextAntiAliasing#0,"""안티에일리어싱"""
DrawFuncTextSoftParticle#0,"""소프트 파티클"""
DrawFuncTextAmbientOcclusion#0,"""앰비언트 오클루전"""
DrawFuncTextLimbDarkening#0,"""주변 감광"""
DrawFuncTextCameraLight#0,"""카메라 라이트"""
DrawFuncTextColorTone#0,"""색조 톤 곡선"""
DrawFuncTextEdgeLight#0,"""윤곽 광선"""
DrawFuncTextEffectDraw#0,"""일부 이펙트의 빛을 경감한다"""
DrawFuncTextResolution#0,"""해상도 동적 변경 기능"""
DrawFuncTextOthersEffectDraw#0,"""타인의 일부 이펙트를 투과하는 범위"""
DrawFuncTextFps#0,"""-"""
DrawFuncHintLightEffect#0,"""이펙트에 관련된 라이팅 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLightEffect#0,"""이펙트에 관련된 라이팅 효과의 ON/OFF를 전환합니다. """
DrawFuncHintLightGeoGraphy#0,"""지형에 관련된 라이팅 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLightGeoGraphy#0,"""지형에 관련된 라이팅 효과의 ON/OFF를 전환합니다."""
DrawFuncHintBloom#0,"""밝은 부분에 필터를 적용시켜,<br>화면 전체를 더욱 예쁘게 보이게 하는 효과입니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintBloom#0,"""밝은 부분에 필터를 적용시켜,<br>화면 전체를 더욱 예쁘게 보이게 하는 효과입니다."""
DrawFuncHintDepth#0,"""먼 곳의 스펙터클을 흐리게 해서 자연스러운 분위기를 낼 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintDepth#0,"""먼 곳의 스펙터클을 흐리게 해서 자연스러운 분위기를 낼 수 있습니다."""
DrawFuncHintLightShaft#0,"""빛이 태양을 중심으로 확산되는 표현의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLightShaft#0,"""빛이 태양을 중심으로 확산되는 표현의 ON/OFF를 전환합니다."""
DrawFuncHintBlur#0,"""블러 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다"""
Cloud_DrawFuncHintBlur#0,"""블러 효과의 ON/OFF를 전환합니다."""
DrawFuncHintAntiAliasing#0,"""안티에일리어싱 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintAntiAliasing#0,"""안티에일리어싱 효과의 ON/OFF를 전환합니다."""
DrawFuncHintSoftParticle#0,"""소프트 파티클 효과의 ON/OFF를 전환합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintSoftParticle#0,"""소프트 파티클 효과의 ON/OFF를 전환합니다."""
DrawFuncHintAmbientOcclusion#0,"""모서리의 그림자를 짙게 해서 사실성을 높입니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintAmbientOcclusion#0,"""모서리의 그림자를 짙게 해서 사실성을 높입니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintAmbientOcclusion#0,"""모서리의 그림자를 짙게 해서 사실성을 높입니다."""
DrawFuncHintLimbDarkening#0,"""화면의 바깥쪽 가장자리를 어둡게 조정합니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintLimbDarkening#0,"""화면의 바깥쪽 가장자리를 어둡게 조정합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintLimbDarkening#0,"""화면의 바깥쪽 가장자리를 어둡게 조정합니다."""
DrawFuncHintCameraLight#0,"""카메라가 향하고 있는 방향의 광량을 조절해서 화면의 밝기를 설정합니다.<br>수치를 0으로 하면 처리가 다소 가벼워집니다."""
DrawFuncHintColorTone#0,"""전체의 색조나 대비, 밝기를 필드마다 조정합니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintColorTone#0,"""전체의 색조나 대비, 밝기를 필드마다 조정합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintColorTone#0,"""전체의 색조나 대비, 밝기를 필드마다 조정합니다."""
DrawFuncHintEdgeLight#0,"""오브젝트의 주위에 관련된 광량을 조정합니다.<br>그래픽 설정을 6으로 설정해야<br>사용할 수 있습니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
xx_DrawFuncHintEdgeLight#0,"""오브젝트의 주위에 관련된 광량을 조정합니다.<br>OFF로 하면 처리가 다소 가벼워집니다."""
Cloud_DrawFuncHintEdgeLight#0,"""오브젝트의 주위에 관련된 광량을 조정합니다."""
DrawFuncHintEffectDraw#0,"""일부 이펙트에 대해서 빛의 강도를 바꿉니다.<br>「경감한다」를 선택하면, 빛의 강도가 약해집니다."""
DrawFuncHintResolution#0,"""고부하가 되었을 때에 해상도를 축소해 높은 프레임을 유지하는 기능입니다.<br>OFF로 하면 전투 중에 낮은 프레임이 될 것으로 예상됩니다."""
DrawFuncHintOthersEffectDraw#0,"""다른 플레이어로부터 일부의 이펙트가 투과하는 범위를<br>설정합니다. 「거리에 관계없이 투과」를 선택하면<br>모든 범위에서 일부의 이펙트가 투과됩니다."""
DrawFuncHintFps#0,"""-"""
DrawFuncButtonOn#0,"""ON"""
DrawFuncButtonOff#0,"""OFF"""
DrawFuncButtonOn_Effect#0,"""보통"""
DrawFuncButtonOff_Effect#0,"""경감한다"""
DrawFuncTextOthersEffectDraw_Effect1#0,"""가까운 이펙트만 투과한다"""
DrawFuncTextOthersEffectDraw_Effect2#0,"""거리에 관계없이 투과한다"""
DrawFuncButtonOn_Fps#0,"""-"""
DrawFuncButtonOff_Fps#0,"""-"""
DrawFuncAccessory#0,"""타인의 악세사리 숨기기 기능"""
DrawFuncAccessoryAllOn#0,"""사용하지 않음"""
DrawFuncAccessoryBlacklistOff#0,"""블랙리스트 대상자"""
DrawFuncAccessoryAllOff#0,"""모든 캐릭터"""
DrawFuncTextAccessoryHint#0,"""타인의 악세사리를 표시할지 설정합니다.<br>「블랙리스트 대상자」「모든 캐릭터」<br>를 선택하면, 대상이 되는 플레이어 캐릭터의<br>악세사리가 숨겨집니다."""
DrawDisplayTextDetailModelNum#0,"""상세 모델 표시 수"""
DrawDisplayTextReflectionQuality#0,"""반사되는 품질"""
DrawDisplayTextShadowQuality#0,"""그림자 품질"""
DrawDisplayTextScreenBrightness#0,"""화면의 밝기"""
DrawDisplayTextPBNum#0,"""포톤 블래스터 표시 수"""
DrawDisplayHintDetailModelNum#0,"""장비를 반영한 상세하게 표현되는<br>플레이어 캐릭터 표시 수를 설정합니다.<br>수치를 내리면 처리가 다소 가벼워집니다"""
DrawDisplayHintReflectionQuality#0,"""수면에서 반사되는 퀄리티를 설정합니다.<br>수치를 내리면 처리가 다소 가벼워집니다."""
DrawDisplayHintShadowQuality#0,"""그림자 묘사의 퀄리티를 설정합니다.<br>수치를 내리면 처리가 다소 가벼워집니다."""
DrawDisplayHintScreenBrightness#0,"""화면의 밝기를 설정합니다.<br>수치를 내리면 화면 전체의 밝기를 줄일 수 있습니다."""
DrawDisplayHintPBNum#0,"""포톤 블래스트의 표시 수를 설정합니다.<br>수치를 내리면 처리가 다소 가벼워집니다."""
SndVolumeTextBgm#0,"""BGM 음량"""
SndVolumeTextSe#0,"""SE 음량"""
SndVolumeTextVoice#0,"""보이스 음량"""
SndVolumeTextMovie#0,"""게임 내 재생 동영상 음량"""
SndVolumeHintBgm#0,"""BGM의 음량을 설정합니다."""
SndVolumeHintSe#0,"""SE의 음량을 설정합니다."""
SndVolumeHintVoice#0,"""보이스의 음량을 설정합니다"""
SndVolumeHintMovie#0,"""아크스 로비에 설치된 대형 모니터에서<br>나오는 동영상의 음량을 설정합니다."""
SndPlayTextSurround#0,"""서라운드 설정"""
SndPlayTextGlobalFocus#0,"""글로벌 포커스 사운드 설정"""
SndPlayButtonOn#0,"""ON"""
SndPlayButtonOff#0,"""OFF"""
SndPlayHintSurround#0,"""서라운드 효과의 ON/OFF를 전환합니다."""
SndPlayHintGlobalFocus#0,"""게임창을 보고 있지 않아도,<br>사운드를 재생할지 설정합니다."""
=======
WindowInitHint#0,"""모든 윈도우의 표시 위치와 사이즈를 초기화합니다."""
WindowRadioButtonInitText#0,"""모든 윈도우의 위치와 크기를 초기화한다"""
EstheTitleText#0,"""헤어스타일 및 헤드 파츠 악세서리 선택 방식"""
EstheHint#0,"""캐릭터 크리에이트 및 에스테로 선택하는<br>헤어스타일, 헤드 파츠, 악세서리 창의<br>타입을 설정합니다."""
EstheRadioButtonText1#0,"""작은 윈도우 다중 표시 가능"""
EstheRadioButtonText2#0,"""큰 윈도우 탭화 다중 표시 불가"""
>>>>>>> upstream/KO_Reboot
CtrlKeyboardTitle#0,"""키보드 조작 설정"""
CtrlTabTitleNView#0,"""보통 시점"""
CtrlTabTitleZView#0,"""TPS 시점"""
CtrlTabTitleWindow#0,"""윈도우"""
CtrlTabTitleOther#0,"""기타"""
CtrlTabTitleShortcut#0,"""숏컷"""
CtrlTabTitleAction#0,"""액션"""
CtrlTabTitleLobbyAction#0,"""로비 액션"""
CtrlTabTitleBasicSet#0,"""기본 설정"""
CtrlMainCtgNameNView#0,"""보통 시점 조작"""
CtrlMainCtgNameZView#0,"""TPS 시점 조작"""
CtrlMainCtgNameWindow#0,"""윈도우 조작"""
CtrlMainCtgNameOther#0,"""기타 조작"""
CtrlMainCtgNameShortcut#0,"""숏컷 조작"""
CtrlMainCtgNameAction#0,"""액션 조작"""
CtrlMainCtgNameLobbyAction#0,"""로비 액션 조작"""
CtrlSubCtgNameViewMove#0,"""캐릭터 이동"""
<<<<<<< HEAD
CtrlSubCtgNameViewCamera#0,"""카메라 거리 전환"""
CtrlSubCtgNameViewAction#0,"""액션"""
CtrlSubCtgNameViewActionSupport#0,"""액션 서포트"""
CtrlSubCtgNameViewMenu#0,"""메뉴"""
CtrlSubCtgNameViewPalette#0,"""무기 팔레트 전환"""
=======
CtrlSubCtgNameViewCamera#0,"""카메라 거리 변경"""
CtrlSubCtgNameViewAction#0,"""액션"""
CtrlSubCtgNameViewActionSupport#0,"""액션 서포트"""
CtrlSubCtgNameViewMenu#0,"""메뉴"""
CtrlSubCtgNameViewPalette#0,"""무게 팔레트 전환"""
>>>>>>> upstream/KO_Reboot
CtrlSubCtgNameViewChat#0,"""채팅"""
CtrlSubCtgNameViewSubPalette#0,"""서브 팔레트 사용"""
CtrlSubCtgNameViewMap#0,"""맵 표시"""
CtrlSubCtgNameWindowBasic#0,"""결정/취소"""
CtrlSubCtgNameWindowChat#0,"""채팅"""
CtrlSubCtgNameWindowPage#0,"""페이지 전환"""
CtrlSubCtgNameWindowTab#0,"""탭 전환"""
CtrlSubCtgNameWindowDetailTab#0,"""상세 윈도우 탭 전환"""
CtrlSubCtgNameWindowCtrlWindow#0,"""조작 윈도우 변경"""
CtrlSubCtgNameOtherShortcut#0,"""숏컷"""
CtrlSubCtgNameOtherShortcutWord#0,"""숏컷 워드"""
CtrlSubCtgNameOtherMainPalette#0,"""무기 팔레트 직접 변경"""
CtrlSubCtgNameOtherSubPalette#0,"""서브 팔레트 사용"""
CtrlSubCtgNameCtrlCtrl#0,"""숏컷 설정"""
CtrlSubCtgNameCtrlWindow#0,"""윈도우 숏컷 설정"""
CtrlSubCtgNameBasic#0,"""기본 조작"""
CtrlSubCtgNameAssist#0,"""보조 조작"""
CtrlSubCtgNameLobbyAction#0,"""로비 액션 키 설정"""
CtrlSubCtgNameActionMenu#0,"""액션/메뉴 조작"""
CtrlPresetNameRNViewRcm#0,"""오른손잡이용 보통 시점 추천 세팅"""
<<<<<<< HEAD
CtrlPresetNameRZViewRcm#0,"""오른손잡이용 TPS 시점 추천 세팅 """
=======
CtrlPresetNameRZViewRcm#0,"""오른손잡이용 TPS 시점 추천 세팅"""
>>>>>>> upstream/KO_Reboot
CtrlPresetNameRNViewKbd#0,"""오른손잡이용 보통 시점  추천 세팅을 키보드만 변경"""
CtrlPresetNameRZViewKbd#0,"""오슨손잡이용 TPS 시점 추천 세팅을 키보드만 변경"""
CtrlPresetNameLNViewRcm#0,"""왼손잡이용 보통 시점 추천 세팅"""
CtrlPresetNameLZViewRcm#0,"""왼손잡이용 TPS 시점 추천 세팅"""
CtrlPresetNameLNViewKbd#0,"""왼손잡이용 보통 시점 추천 세팅을 키보드만 변경"""
CtrlPresetNameLZViewKbd#0,"""왼손잡이용 TPS 시점 추천 세팅울 키보드만 변경"""
CtrlPresetNameRcm1#0,"""추천1"""
CtrlPresetNameRcm2#0,"""추천2"""
CtrlPresetNameNViewRcm1#0,"""보통 시점 추천1"""
CtrlPresetNameNViewRcm2#0,"""보통 시점 추천2"""
CtrlPresetNameZViewRcm1#0,"""TPS 시점 추천1"""
CtrlPresetNameZViewRcm2#0,"""TPS 시점 추천2"""
CtrlPresetNameRRcm#0,"""오른손잡이용 추천 세팅"""
CtrlPresetNameLRcm#0,"""왼손잡이용 추천 세팅"""
CtrlPresetNameCutom#0,"""커스텀"""
CtrlPresetNameRcm#0,"""추천"""
<<<<<<< HEAD
CtrlAssignNameMouseL#0,"""좌 클릭"""
CtrlAssignNameMouseR#0,"""우 클릭"""
CtrlAssignNameMouseM#0,"""휠 클릭"""
CtrlAssignNameMouseWheel#0,"""휠"""
CtrlAssignNameMouseX1#0,"""사이드 버튼 (X1)"""
CtrlAssignNameMouseX2#0,"""사이드 버튼 (X2)"""
CtrlFuncNameNone#0,"""없음"""
CtrlFuncNameMoveForward#0,"""앞으로 이동"""
CtrlFuncNameMoveRight#0,"""우로 이동"""
CtrlFuncNameMoveLeft#0,"""좌로 이동"""
=======
CtrlAssignNameMouseL#0,"""왼쪽 클릭"""
CtrlAssignNameMouseR#0,"""오른쪽 클릭"""
CtrlAssignNameMouseM#0,"""휠 클릭"""
CtrlAssignNameMouseWheel#0,"""휠"""
CtrlAssignNameMouseX1#0,"""사이드 버튼(X1)"""
CtrlAssignNameMouseX2#0,"""사이드 버튼(X2)"""
CtrlFuncNameNone#0,"""없음"""
CtrlFuncNameMoveForward#0,"""앞으로 이동"""
CtrlFuncNameMoveRight#0,"""오른쪽으로 이동"""
CtrlFuncNameMoveLeft#0,"""왼쪽으로 이동"""
>>>>>>> upstream/KO_Reboot
CtrlFuncNameMoveBack#0,"""뒤로 이동"""
CtrlFuncNameNormalAttack#0,"""일반 공격"""
CtrlFuncNamePhotonArts#0,"""PA/테크닉"""
CtrlFuncNameAvoid#0,"""회피 액션"""
CtrlFuncNameJump#0,"""점프"""
CtrlFuncNameAccess#0,"""액세스"""
<<<<<<< HEAD
CtrlFuncNameWeponAction#0,"""무기액션"""
=======
CtrlFuncNameWeponAction#0,"""무기 액션"""
>>>>>>> upstream/KO_Reboot
CtrlFuncNameLockon#0,"""록온"""
CtrlFuncNameLockonNext#0,"""타겟 전환"""
CtrlFuncNameChangeView#0,"""시점 전환"""
CtrlFuncNameCameraDistance#0,"""카메라 거리 변경"""
CtrlFuncNameCameraSelect#0,"""카메라 선택"""
CtrlFuncNameCameraLightSetting#0,"""커스텀 라이트 설정"""
CtrlFuncNameCameraMoveUD#0,"""카메라 상하 이동"""
CtrlFuncNameAutoRun#0,"""자동 달리기"""
CtrlFuncNameRefuseFollowRun#0,"""자동 따라가기 거부"""
CtrlFuncNameOpenMainMenu#0,"""메인 메뉴"""
CtrlFuncNameOpenSelectMenu#0,"""퀵 메뉴"""
CtrlFuncNameOpenEquip#0,"""장비"""
<<<<<<< HEAD
CtrlFuncNameOpenPlayerList#0,"""주위의 캐릭터"""
=======
CtrlFuncNameOpenPlayerList#0,"""주위 캐릭터"""
>>>>>>> upstream/KO_Reboot
CtrlFuncNameMainPaletteForward#0,"""무기 팔레트를 순서대로 전환"""
CtrlFuncNameMainPaletteBack#0,"""무기 팔레트를 역순으로 전환"""
CtrlFuncNameMainPaletteA#0,"""액션1"""
CtrlFuncNameMainPaletteB#0,"""액션2"""
CtrlFuncNameMainPaletteC#0,"""액션3"""
CtrlFuncNameBackPallete#0,"""팔레트 전환"""
CtrlFuncNameMainPaletteUp#0,"""무기 팔레트를 아래로"""
CtrlFuncNameMainPaletteDown#0,"""무기 팔레트를 위로"""
CtrlFuncNameStartChat#0,"""채팅 입력"""
CtrlFuncNameStartChatPublic#0,"""주위 채팅 입력"""
CtrlFuncNameStartChatParty#0,"""파티 채팅 입력"""
CtrlFuncNameStartChatGuild#0,"""팀 채팅 입력"""
CtrlFuncNameStartChatWhisper#0,"""귓속말 채팅 입력"""
CtrlFuncNameSubpaletteChange#0,"""서브 팔레트 커서 이동"""
CtrlFuncNameSubpalette#0,"""서브 팔레트 사용"""
CtrlFuncNameSubpaletteForward#0,"""서브 팔레트를 순서대로 전환"""
<<<<<<< HEAD
CtrlFuncNameSubpaletteLeft#0,"""서브 팔레트 커서를 좌로"""
CtrlFuncNameSubpaletteRight#0,"""서브 팔레트 커서를 우로"""
CtrlFuncNameCameraNear#0,"""캐릭터에서 가깝게 한다"""
